gene_name,abs_mean_delta,rank_in_family,drug_family,is_family_target
ERBB2,0.007871994283050299,1,EGFR_inhibitors,True
CDKN1A,0.004646075579027335,2,EGFR_inhibitors,False
FGFR1,0.004421540070325136,3,EGFR_inhibitors,False
MYC,0.0035685323333988586,4,EGFR_inhibitors,False
FGFR4,0.003170275672649344,5,EGFR_inhibitors,False
BCL2,0.003103963720301787,6,EGFR_inhibitors,False
MAPK13,0.0027732361728946366,7,EGFR_inhibitors,False
CDKN2A,0.002548790032354494,8,EGFR_inhibitors,False
EGFR,0.0024900635859618583,9,EGFR_inhibitors,True
CDKN2C,0.002402554382570088,10,EGFR_inhibitors,False
AKT3,0.0021173517840603986,11,EGFR_inhibitors,False
PIK3CD,0.0019222275586798787,12,EGFR_inhibitors,False
MET,0.0018687834963202477,13,EGFR_inhibitors,False
CCND1,0.0018475694814696908,14,EGFR_inhibitors,False
MGMT,0.0017393007486437757,15,EGFR_inhibitors,False
MAP4K1,0.0016175627242773771,16,EGFR_inhibitors,False
FGFR2,0.0015487706987187266,17,EGFR_inhibitors,False
FGFR3,0.0012798792061706383,18,EGFR_inhibitors,False
ERBB3,0.001274986503024896,19,EGFR_inhibitors,False
CDKN2B,0.0012147969100624323,20,EGFR_inhibitors,False
NOTCH3,0.0011506542408217986,21,EGFR_inhibitors,False
KIT,0.0009363498150681456,22,EGFR_inhibitors,False
MYCN,0.0007277140587878724,23,EGFR_inhibitors,False
CCND2,0.0006719054460215071,24,EGFR_inhibitors,False
BCL2A1,0.0005144581664353609,25,EGFR_inhibitors,False
CDKN1A,0.007362421602010727,1,BRAF_inhibitors,False
MYC,0.005045296624302864,2,BRAF_inhibitors,False
ERBB2,0.0033675716258585453,3,BRAF_inhibitors,False
CDKN2C,0.003196357050910592,4,BRAF_inhibitors,False
MET,0.003017974551767111,5,BRAF_inhibitors,False
MGMT,0.002794699277728796,6,BRAF_inhibitors,False
CCND1,0.0027088476344943047,7,BRAF_inhibitors,False
AKT3,0.002540087327361107,8,BRAF_inhibitors,False
BCL2,0.002351428847759962,9,BRAF_inhibitors,False
CDKN2B,0.0022084375377744436,10,BRAF_inhibitors,False
FGFR4,0.0021332905162125826,11,BRAF_inhibitors,False
FGFR2,0.002027659211307764,12,BRAF_inhibitors,False
FGFR1,0.0020036406349390745,13,BRAF_inhibitors,False
CDKN2A,0.001834144932217896,14,BRAF_inhibitors,False
MAPK13,0.001685300492681563,15,BRAF_inhibitors,False
PIK3CD,0.0016553874593228102,16,BRAF_inhibitors,False
EGFR,0.0015229876153171062,17,BRAF_inhibitors,False
NOTCH3,0.0013429587706923485,18,BRAF_inhibitors,False
FGFR3,0.0012580298352986574,19,BRAF_inhibitors,False
ERBB3,0.0011190110817551613,20,BRAF_inhibitors,False
BCL2A1,0.0010090027935802937,21,BRAF_inhibitors,False
MAP4K1,0.000913295429199934,22,BRAF_inhibitors,False
CCND2,0.0007976297056302428,23,BRAF_inhibitors,False
KIT,0.0007268031476996839,24,BRAF_inhibitors,False
MYCN,0.0006878957501612604,25,BRAF_inhibitors,False
CDKN1A,0.010872220620512962,1,MEK_inhibitors,False
MYC,0.008975238772109151,2,MEK_inhibitors,False
ERBB2,0.005232333671301603,3,MEK_inhibitors,False
CDKN2C,0.00512284878641367,4,MEK_inhibitors,False
AKT3,0.004974171984940767,5,MEK_inhibitors,False
PIK3CD,0.003795986878685653,6,MEK_inhibitors,False
MGMT,0.0036716400645673275,7,MEK_inhibitors,False
CDKN2B,0.003644346841610968,8,MEK_inhibitors,False
MAPK13,0.003557989723049104,9,MEK_inhibitors,False
MET,0.003221229766495526,10,MEK_inhibitors,False
FGFR4,0.0030258323531597853,11,MEK_inhibitors,False
NOTCH3,0.0029982380801811814,12,MEK_inhibitors,False
FGFR1,0.0027040347922593355,13,MEK_inhibitors,False
CCND1,0.0025499320472590625,14,MEK_inhibitors,False
CDKN2A,0.002299725776538253,15,MEK_inhibitors,False
FGFR2,0.0022295103408396244,16,MEK_inhibitors,False
BCL2,0.002226275042630732,17,MEK_inhibitors,False
ERBB3,0.0018797272350639105,18,MEK_inhibitors,False
EGFR,0.0018011914216913283,19,MEK_inhibitors,False
FGFR3,0.0016773433308117092,20,MEK_inhibitors,False
BCL2A1,0.001292661007028073,21,MEK_inhibitors,False
MYCN,0.001265283761313185,22,MEK_inhibitors,False
KIT,0.0012005196185782552,23,MEK_inhibitors,False
MAP4K1,0.0010881577909458429,24,MEK_inhibitors,False
CCND2,0.0010140507656615227,25,MEK_inhibitors,False
MYC,0.010308929486200213,1,BCL2_inhibitors,False
BCL2,0.009454149287194014,2,BCL2_inhibitors,True
ERBB2,0.008667800342664123,3,BCL2_inhibitors,False
CDKN1A,0.0074851964600384235,4,BCL2_inhibitors,False
CDKN2C,0.005267191911116242,5,BCL2_inhibitors,False
MGMT,0.004076497978530824,6,BCL2_inhibitors,False
PIK3CD,0.003851768095046282,7,BCL2_inhibitors,False
FGFR3,0.0037894033594056964,8,BCL2_inhibitors,False
AKT3,0.0035621082643046975,9,BCL2_inhibitors,False
MAPK13,0.003283425816334784,10,BCL2_inhibitors,False
ERBB3,0.0031034909188747406,11,BCL2_inhibitors,False
MET,0.002896276884712279,12,BCL2_inhibitors,False
CCND1,0.0026588034816086292,13,BCL2_inhibitors,False
FGFR1,0.0025656184880062938,14,BCL2_inhibitors,False
FGFR4,0.002542741713114083,15,BCL2_inhibitors,False
EGFR,0.002412683388683945,16,BCL2_inhibitors,False
CDKN2B,0.0019960832432843745,17,BCL2_inhibitors,False
CDKN2A,0.0019765316392295063,18,BCL2_inhibitors,False
NOTCH3,0.0018890161300078034,19,BCL2_inhibitors,False
FGFR2,0.0017607796471565962,20,BCL2_inhibitors,False
KIT,0.0017119631520472467,21,BCL2_inhibitors,False
BCL2A1,0.0012454639072529972,22,BCL2_inhibitors,False
CCND2,0.0012076888524461538,23,BCL2_inhibitors,False
MAP4K1,0.0011506607406772673,24,BCL2_inhibitors,False
MYCN,0.000824457238195464,25,BCL2_inhibitors,False
CDKN1A,0.007004093534002702,1,PARP_inhibitors,False
MYC,0.002874852934231361,2,PARP_inhibitors,False
ERBB2,0.0026723920988539853,3,PARP_inhibitors,False
CDKN2C,0.002485484117642045,4,PARP_inhibitors,False
MET,0.002289686972896258,5,PARP_inhibitors,False
BCL2,0.002169002934048573,6,PARP_inhibitors,False
MGMT,0.0021338893566280603,7,PARP_inhibitors,False
FGFR4,0.002104752503025035,8,PARP_inhibitors,False
FGFR1,0.001825922285206616,9,PARP_inhibitors,False
AKT3,0.001709341110351185,10,PARP_inhibitors,False
FGFR2,0.0016751033642018835,11,PARP_inhibitors,False
CDKN2A,0.0015526235414048035,12,PARP_inhibitors,False
CCND1,0.0014625679468736053,13,PARP_inhibitors,False
ERBB3,0.0013521436679487426,14,PARP_inhibitors,False
EGFR,0.0013335520246376593,15,PARP_inhibitors,False
FGFR3,0.001275548633808891,16,PARP_inhibitors,False
MAPK13,0.00117931526619941,17,PARP_inhibitors,False
PIK3CD,0.00105076488883545,18,PARP_inhibitors,False
CDKN2B,0.0010276135290041566,19,PARP_inhibitors,False
NOTCH3,0.000983428753291567,20,PARP_inhibitors,False
KIT,0.0009071653087933859,21,PARP_inhibitors,False
MAP4K1,0.0007239327921221653,22,PARP_inhibitors,False
MYCN,0.0006724989119296273,23,PARP_inhibitors,False
CCND2,0.0006692490327016761,24,PARP_inhibitors,False
BCL2A1,0.0005228869364752123,25,PARP_inhibitors,False
CDKN1A,0.005404950585216284,1,CDK46_inhibitors,True
CDKN2C,0.00329203880392015,2,CDK46_inhibitors,False
MGMT,0.0032457979395985603,3,CDK46_inhibitors,False
ERBB2,0.0027251550927758217,4,CDK46_inhibitors,False
BCL2,0.002564365044236183,5,CDK46_inhibitors,False
MYC,0.0024683463852852583,6,CDK46_inhibitors,False
AKT3,0.002346995985135436,7,CDK46_inhibitors,False
FGFR4,0.002298343228176236,8,CDK46_inhibitors,False
CDKN2A,0.002244949573650956,9,CDK46_inhibitors,False
MET,0.002153788460418582,10,CDK46_inhibitors,False
MAPK13,0.0019087254768237472,11,CDK46_inhibitors,False
NOTCH3,0.0018091333331540227,12,CDK46_inhibitors,False
FGFR2,0.0016045544762164354,13,CDK46_inhibitors,False
CCND1,0.0015314121264964342,14,CDK46_inhibitors,False
EGFR,0.001431177486665547,15,CDK46_inhibitors,False
ERBB3,0.0014182351296767592,16,CDK46_inhibitors,False
PIK3CD,0.0012804369907826185,17,CDK46_inhibitors,False
FGFR1,0.001057290704920888,18,CDK46_inhibitors,False
FGFR3,0.0009614969603717327,19,CDK46_inhibitors,False
CDKN2B,0.0009358079987578094,20,CDK46_inhibitors,False
KIT,0.0007997729117050767,21,CDK46_inhibitors,False
MYCN,0.0007787657668814063,22,CDK46_inhibitors,False
BCL2A1,0.000732678163331002,23,CDK46_inhibitors,False
CCND2,0.0007082506199367344,24,CDK46_inhibitors,False
MAP4K1,0.0005351060535758734,25,CDK46_inhibitors,False
CDKN2C,0.00783907761797309,1,PI3K_inhibitors,False
MYC,0.004605304449796677,2,PI3K_inhibitors,False
CDKN1A,0.004387300228700042,3,PI3K_inhibitors,False
MAPK13,0.003997414838522673,4,PI3K_inhibitors,False
ERBB2,0.003440890577621758,5,PI3K_inhibitors,False
MET,0.0030315782059915364,6,PI3K_inhibitors,False
BCL2,0.002824867144227028,7,PI3K_inhibitors,False
MGMT,0.0024570493260398507,8,PI3K_inhibitors,False
FGFR1,0.0022398874862119555,9,PI3K_inhibitors,False
CDKN2A,0.0021632732241414487,10,PI3K_inhibitors,False
AKT3,0.002066063112579286,11,PI3K_inhibitors,False
EGFR,0.002048413851298392,12,PI3K_inhibitors,False
PIK3CD,0.0019440557807683945,13,PI3K_inhibitors,False
FGFR4,0.0019062751671299338,14,PI3K_inhibitors,False
CCND1,0.0019002765184268355,15,PI3K_inhibitors,False
KIT,0.0016644321731291711,16,PI3K_inhibitors,False
ERBB3,0.0015290916780941188,17,PI3K_inhibitors,False
FGFR3,0.0014954488724470139,18,PI3K_inhibitors,False
NOTCH3,0.0013292839867062867,19,PI3K_inhibitors,False
CDKN2B,0.0012194933951832354,20,PI3K_inhibitors,False
FGFR2,0.0011618536082096398,21,PI3K_inhibitors,False
MAP4K1,0.0010044656810350716,22,PI3K_inhibitors,False
BCL2A1,0.0009643439552746713,23,PI3K_inhibitors,False
CCND2,0.0009396873647347093,24,PI3K_inhibitors,False
MYCN,0.0009107647929340601,25,PI3K_inhibitors,False
CDKN2C,0.004855627892538905,1,MTOR_inhibitors,False
CDKN1A,0.004815615247935057,2,MTOR_inhibitors,False
ERBB2,0.004557859152555466,3,MTOR_inhibitors,False
MGMT,0.004354267846792936,4,MTOR_inhibitors,False
MYC,0.003550672670826316,5,MTOR_inhibitors,False
BCL2,0.002966078696772456,6,MTOR_inhibitors,False
MAPK13,0.002841773326508701,7,MTOR_inhibitors,False
MET,0.002577009261585772,8,MTOR_inhibitors,False
CDKN2A,0.0024885445600375533,9,MTOR_inhibitors,False
AKT3,0.002476079622283578,10,MTOR_inhibitors,False
FGFR4,0.0024037559051066637,11,MTOR_inhibitors,False
ERBB3,0.002173083834350109,12,MTOR_inhibitors,False
CCND1,0.002079016121570021,13,MTOR_inhibitors,False
PIK3CD,0.0020050181192345917,14,MTOR_inhibitors,False
FGFR1,0.002000529086217284,15,MTOR_inhibitors,False
NOTCH3,0.0019489630940370262,16,MTOR_inhibitors,False
FGFR2,0.001764415530487895,17,MTOR_inhibitors,False
CDKN2B,0.0017146671889349818,18,MTOR_inhibitors,False
FGFR3,0.0015954719274304807,19,MTOR_inhibitors,False
EGFR,0.0015528809744864702,20,MTOR_inhibitors,False
KIT,0.0012756879441440105,21,MTOR_inhibitors,False
MYCN,0.0010903449438046664,22,MTOR_inhibitors,False
BCL2A1,0.0010490211425349116,23,MTOR_inhibitors,False
CCND2,0.0008468380838166922,24,MTOR_inhibitors,False
MAP4K1,0.0007366414938587695,25,MTOR_inhibitors,False
