DRUG_NAME,drug_id,target,expected_cancer,cancer_group,n_cells,delta_auc_mean,delta_auc_std,baseline_spearman,ko_spearman,is_expected
Erlotinib,1168,EGFR,Lung,Skin,54,-2.541807e-05,5.626742e-05,0.32182199352010665,0.32182199352010665,False
Erlotinib,1168,EGFR,Lung,Other,463,-1.6912914e-05,6.877897e-05,0.23106247388853532,0.23155503639419134,False
Erlotinib,1168,EGFR,Lung,Pancreatic,30,-4.9992403e-05,4.3420074e-05,0.18086763070077863,0.18086763070077863,False
Erlotinib,1168,EGFR,Lung,Lung,154,-1.2126836e-05,6.818932e-05,0.188148221165299,0.18783278707377382,True
Erlotinib,1168,EGFR,Lung,Colorectal,46,-5.5456938e-05,5.080787e-05,0.32889300030835644,0.32876965772432926,False
Erlotinib,1168,EGFR,Lung,Haematological,133,-1.7320752e-05,9.0627334e-05,0.25967904836718664,0.25983207679986936,False
Erlotinib,1168,EGFR,Lung,Breast,50,-3.925204e-05,5.3015858e-05,0.28547418967587035,0.2843217286914766,False
Gefitinib,1010,EGFR,Lung,Skin,54,-9.957287e-06,3.57056e-05,0.19367257480465025,0.19374880884314843,False
Gefitinib,1010,EGFR,Lung,Other,463,-2.7710366e-06,3.337434e-05,0.267182861824256,0.2671509431954803,False
Gefitinib,1010,EGFR,Lung,Pancreatic,30,2.0245711e-06,2.7356431e-05,0.6226918798665184,0.6226918798665184,False
Gefitinib,1010,EGFR,Lung,Lung,154,-5.5939345e-06,3.3718043e-05,0.08495198665976655,0.08457083713250697,True
Gefitinib,1010,EGFR,Lung,Colorectal,46,-1.2449596e-05,2.7132108e-05,0.45050878815911194,0.45050878815911194,False
Gefitinib,1010,EGFR,Lung,Haematological,136,-1.01722335e-05,4.783784e-05,0.1203663947330757,0.12036162396832212,False
Gefitinib,1010,EGFR,Lung,Breast,50,8.026362e-06,2.9990799e-05,0.552172869147659,0.552172869147659,False
Osimertinib,1919,EGFR,Lung,Skin,54,6.914139e-06,2.5127021e-05,0.3642081189251,0.3642081189251,False
Osimertinib,1919,EGFR,Lung,Other,463,-7.591546e-07,2.8082144e-05,0.34976829521711833,0.3493783196623772,False
Osimertinib,1919,EGFR,Lung,Pancreatic,30,-1.4106432e-07,2.0044938e-05,0.5265850945494994,0.5265850945494994,False
Osimertinib,1919,EGFR,Lung,Lung,154,-1.3298802e-06,2.9087429e-05,0.4054494525082761,0.4054724529107831,True
Osimertinib,1919,EGFR,Lung,Colorectal,46,7.217345e-07,3.0995347e-05,0.749491211840888,0.749491211840888,False
Osimertinib,1919,EGFR,Lung,Haematological,135,-7.26691e-06,3.519773e-05,0.41556433518681113,0.41532533411374506,False
Osimertinib,1919,EGFR,Lung,Breast,50,-4.5347215e-06,2.06043e-05,0.5077070828331333,0.5067466986794718,False
Venetoclax,1909,BCL2,Haematological,Skin,54,-4.302462e-05,4.4815883e-05,0.37076424623594423,0.37076424623594423,False
Venetoclax,1909,BCL2,Haematological,Other,463,-2.7370246e-05,5.2658437e-05,0.40138217347443983,0.40144244407249857,False
Venetoclax,1909,BCL2,Haematological,Pancreatic,30,-4.704793e-05,4.44338e-05,0.1604004449388209,0.1604004449388209,False
Venetoclax,1909,BCL2,Haematological,Lung,154,-2.7162689e-05,6.705028e-05,0.44013606392160537,0.44036606813561124,False
Venetoclax,1909,BCL2,Haematological,Colorectal,46,-3.407183e-05,7.437171e-05,0.42127659574468085,0.42127659574468085,False
Venetoclax,1909,BCL2,Haematological,Haematological,136,-2.107813e-05,8.046495e-05,0.6967463384380514,0.6963408234339964,True
Venetoclax,1909,BCL2,Haematological,Breast,50,-5.5599212e-05,8.1340746e-05,0.5312364945978392,0.5312364945978392,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Skin,54,-4.0608425e-05,8.87973e-05,0.713512483323804,0.713512483323804,True
Trametinib,1372,MAP2K1/MAP2K2,Skin,Other,465,2.2005008e-06,5.063214e-05,0.6313131662744013,0.6312030057240521,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Pancreatic,30,5.0465264e-06,4.3915177e-05,0.5946607341490544,0.5946607341490544,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Lung,156,-1.0835819e-06,4.744099e-05,0.7650108264449748,0.7656651546522103,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Colorectal,48,1.6614795e-06,7.014207e-05,0.6705384281372123,0.6705384281372123,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Haematological,138,-2.1514254e-05,6.5268316e-05,0.6563551326123569,0.6561222497855245,False
Trametinib,1372,MAP2K1/MAP2K2,Skin,Breast,50,-2.3329258e-06,4.8028898e-05,0.5038655462184873,0.5071308523409364,False
Crizotinib,1083,ALK/MET,Lung,Skin,54,-5.3784363e-05,5.2977783e-05,0.2539736992567181,0.25488850771869637,False
Crizotinib,1083,ALK/MET,Lung,Other,465,-3.5358244e-05,5.382373e-05,0.4625781425342749,0.4628447119859409,False
Crizotinib,1083,ALK/MET,Lung,Pancreatic,30,-5.5615106e-05,5.43877e-05,0.5506117908787541,0.5506117908787541,False
Crizotinib,1083,ALK/MET,Lung,Lung,156,-5.4543598e-05,5.3632077e-05,0.35728216718559846,0.35759510676297196,True
Crizotinib,1083,ALK/MET,Lung,Colorectal,48,-5.02343e-05,4.225173e-05,0.35518888406426397,0.35518888406426397,False
Crizotinib,1083,ALK/MET,Lung,Haematological,138,-6.142216e-05,8.8977686e-05,0.33031194847359174,0.3302799842005164,False
Crizotinib,1083,ALK/MET,Lung,Breast,50,-7.453919e-05,6.303857e-05,0.2790396158463385,0.2790396158463385,False
Talazoparib,1259,PARP1/PARP2,Breast,Skin,54,-4.3378936e-06,3.1931577e-05,0.5952734896131122,0.5952734896131122,False
Talazoparib,1259,PARP1/PARP2,Breast,Other,462,-1.7111306e-05,3.6559002e-05,0.42485925406892594,0.424950035323765,False
Talazoparib,1259,PARP1/PARP2,Breast,Pancreatic,30,-1.710852e-05,3.4637214e-05,0.31790878754171303,0.31790878754171303,False
Talazoparib,1259,PARP1/PARP2,Breast,Lung,154,-2.290057e-05,3.7630343e-05,0.4500932337744482,0.44988951592367155,False
Talazoparib,1259,PARP1/PARP2,Breast,Colorectal,46,-2.1530233e-05,3.4521658e-05,0.29053345667591735,0.29053345667591735,False
Talazoparib,1259,PARP1/PARP2,Breast,Breast,50,-2.2069216e-05,3.7813596e-05,0.3729651860744298,0.3729651860744298,True
Talazoparib,1259,PARP1/PARP2,Breast,Haematological,135,-2.0349025e-05,4.7577407e-05,0.4364403472831919,0.43657204175202424,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Skin,50,0.0003959441,0.00023526218,0.2457142857142857,0.24072028811524607,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Other,428,0.0004098726,0.00026870475,0.2502799885222788,0.24936141877738563,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Pancreatic,30,0.00023556352,0.00015815564,0.44560622914349274,0.44560622914349274,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Lung,141,0.0003455539,0.00020320276,0.29304764758765356,0.29322316880003424,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Colorectal,48,0.00023843224,0.00025039553,0.29928354320451583,0.29928354320451583,False
Ruxolitinib,1507,JAK1/JAK2,Haematological,Haematological,133,0.00039901948,0.0003277708,0.16467410640859026,0.1635034374056856,True
Ruxolitinib,1507,JAK1/JAK2,Haematological,Breast,45,0.0004388253,0.00025124,0.1212121212121212,0.12569169960474308,False
Cisplatin,1005,DNA,Bladder,Skin,31,1.9215768e-05,4.267771e-05,0.38870967741935486,0.38870967741935486,False
Cisplatin,1005,DNA,Bladder,Pancreatic,30,1.8123787e-05,3.8899656e-05,0.3281423804226919,0.3281423804226919,False
Cisplatin,1005,DNA,Bladder,Other,364,2.6158743e-05,4.9364586e-05,0.5017094984716404,0.5014191288163891,False
Cisplatin,1005,DNA,Bladder,Lung,115,3.935565e-05,4.0070772e-05,0.2677108814014046,0.2670559457113549,False
Cisplatin,1005,DNA,Bladder,Colorectal,43,2.4862067e-05,3.3997654e-05,0.4421624886741166,0.4421624886741166,False
Cisplatin,1005,DNA,Bladder,Haematological,109,-3.0285175e-05,5.7263675e-05,0.4189509776665741,0.4182374200722825,False
Cisplatin,1005,DNA,Bladder,Breast,51,4.888516e-05,3.876021e-05,0.2784615384615384,0.2798190045248869,False
Cytarabine,1006,DNA_polymerase,Haematological,Skin,31,1.6347054e-05,4.934039e-05,0.590725806451613,0.5971774193548388,False
Cytarabine,1006,DNA_polymerase,Haematological,Pancreatic,29,-9.187337e-07,6.741127e-05,0.7822660098522166,0.7822660098522166,False
Cytarabine,1006,DNA_polymerase,Haematological,Other,362,1.9383035e-06,8.663233e-05,0.6901050123506569,0.6903144666179429,False
Cytarabine,1006,DNA_polymerase,Haematological,Lung,111,-1.4149391e-06,7.928543e-05,0.7078711828711829,0.7079238329238329,False
Cytarabine,1006,DNA_polymerase,Haematological,Colorectal,42,-6.8119593e-06,6.150654e-05,0.7603111579288551,0.7603111579288551,False
Cytarabine,1006,DNA_polymerase,Haematological,Haematological,106,-5.510112e-05,0.000103251085,0.6621407159231176,0.6621407159231176,True
Cytarabine,1006,DNA_polymerase,Haematological,Breast,45,-1.6591284e-05,7.903922e-05,0.5635890513285047,0.5635890513285047,False
