DRUG_ID,DRUG_NAME,source_ablated,n_cells,delta_auc_mean,delta_auc_std,delta_auc_abs_mean,baseline_spearman,ko_spearman,delta_spearman,has_ChEMBL,has_PrimeKG
1372,Trametinib,ChEMBL,941,0.0006271467,0.0065699117,0.0040925397,0.6738881875255345,0.6786620172649603,-0.004773829739425861,1.0,1.0
1908,Ulixertinib,ChEMBL,933,0.0,0.0,0.0,0.6141059548721544,0.6141059548721544,0.0,0.0,0.0
2096,VX-11e,ChEMBL,929,0.0,0.0,0.0,0.5664705127224022,0.5664705127224022,0.0,0.0,0.0
1873,Buparlisib,ChEMBL,933,0.011559379,0.042897336,0.033864208,0.4668220712374413,0.5160769211439137,-0.04925484990647239,1.0,0.0
1083,Crizotinib,ChEMBL,941,-0.0027218834,0.0061920085,0.0051902058,0.44146428596155735,0.47096628804038804,-0.02950200207883069,1.0,1.0
1593,Entinostat,ChEMBL,875,0.009513175,0.025114823,0.021108394,0.32479286654509587,0.35531465968657194,-0.030521793141476072,1.0,0.0
1200,Fulvestrant,ChEMBL,938,-0.0076447786,0.018972214,0.016419875,-0.15924683534362588,-0.2300290114167901,0.07078217607316423,1.0,1.0
1816,Fulvestrant,ChEMBL,698,-0.010028184,0.01727053,0.016405964,0.09112960476268481,0.03531844519141731,0.0558111595712675,,
1401,AZD5438,ChEMBL,698,0.028524673,0.030507166,0.03655952,0.3782567537862036,0.42968370291592595,-0.051426949129722344,1.0,0.0
2037,GSK343,ChEMBL,724,0.0,0.0,0.0,0.11093726693594486,0.11093726693594486,0.0,,
1936,Savolitinib,ChEMBL,932,0.01002966,0.043426923,0.03433511,0.14734757712797025,0.00746629448466126,0.13988128264330899,1.0,0.0
1268,XAV939,ChEMBL,870,0.0,0.0,0.0,0.21641408296882653,0.21641408296882653,0.0,0.0,0.0
1494,SN-38,ChEMBL,933,9.701208e-05,0.006734862,0.0053163967,0.6198357121378844,0.6265766699622397,-0.006740957824355354,1.0,1.0
1179,MK-1775,ChEMBL,942,0.003424943,0.011175621,0.00823211,0.5146831261604757,0.48136907501202525,0.033314051148450485,1.0,1.0
1927,GSK2578215A,ChEMBL,933,0.0,0.0,0.0,0.16111246409925653,0.16111246409925653,0.0,0.0,0.0
1739,JAK_8517,ChEMBL,698,0.0,0.0,0.0,0.4056649510317488,0.4056649510317488,0.0,0.0,0.0
1010,Gefitinib,ChEMBL,933,-0.000967272,0.01304663,0.009544158,0.056734810788004505,0.02060923339953279,0.03612557738847172,1.0,1.0
1631,PRT062607,ChEMBL,871,0.0,0.0,0.0,0.5507184699605524,0.5507184699605524,0.0,0.0,0.0
1006,Cytarabine,ChEMBL,726,-0.0024965731,0.018803999,0.014000448,0.751359332273725,0.7527774405300873,-0.0014181082563623493,1.0,1.0
1059,AZD8055,ChEMBL,729,0.0,0.0,0.0,0.5799737415043601,0.5799737415043601,0.0,0.0,0.0
1005,Cisplatin,ChEMBL,743,0.004525877,0.027802402,0.018276405,0.5385326306480203,0.5482199942737147,-0.009687363625694445,1.0,1.0
1249,BMS-345541,ChEMBL,869,0.0,0.0,0.0,0.5531688709389716,0.5531688709389716,0.0,0.0,0.0
1507,Ruxolitinib,ChEMBL,875,-0.0036798762,0.0044666715,0.0044329595,0.22523686528281964,0.2092501114060479,0.01598675387677173,1.0,1.0
2011,ICL-SIRT078,ChEMBL,723,0.0,0.0,0.0,0.21938539871165036,0.21938539871165036,0.0,0.0,0.0
2110,GSK591,ChEMBL,929,0.0,0.0,0.0,0.20528914445797844,0.20528914445797844,0.0,0.0,0.0
1047,Nutlin-3a (-),ChEMBL,943,0.0,0.0,0.0,0.30083862359052677,0.30083862359052677,0.0,0.0,0.0
1779,GSK626616AC,ChEMBL,698,0.0,0.0,0.0,0.06055184252004917,0.06055184252004917,0.0,,
1824,123138,ChEMBL,698,0.0,0.0,0.0,-0.04502832547954373,-0.04502832547954373,0.0,,
1826,50869,ChEMBL,698,0.0,0.0,0.0,0.32910436348189603,0.32910436348189603,0.0,,
1839,615590,ChEMBL,698,0.0,0.0,0.0,-0.060678012596928586,-0.060678012596928586,0.0,,
1999,N25720-51-A1,ChEMBL,725,0.0,0.0,0.0,0.4301181785154885,0.4301181785154885,0.0,,
1815,Dacarbazine,ChEMBL,698,0.0038730518,0.012719737,0.008887668,-0.02017901212655053,-0.07491732123856461,0.05473830911201408,1.0,1.0
1919,Osimertinib,ChEMBL,932,0.001884064,0.0066379397,0.004535809,0.3210041573645688,0.31180879062370914,0.009195366740859634,1.0,1.0
1449,AZD1208,ChEMBL,697,-0.0518183,0.04217249,0.05436308,-0.016495863927103605,-0.0561902419880312,0.0396943780609276,1.0,0.0
1622,Wnt-C59,ChEMBL,871,0.0,0.0,0.0,0.2983648656350902,0.2983648656350902,0.0,0.0,0.0
1630,Entospletinib,ChEMBL,871,-0.043596726,0.034926236,0.043890357,0.4662926960464482,0.45590329558165743,0.010389400464790755,1.0,0.0
1463,AZD1332,ChEMBL,698,0.0,0.0,0.0,0.3936503768710111,0.3936503768710111,0.0,0.0,0.0
1512,Cyclophosphamide,ChEMBL,932,-0.0046659447,0.025293844,0.018898346,0.011165690166055548,-0.07907072210744595,0.0902364122735015,1.0,1.0
1168,Erlotinib,ChEMBL,930,0.004439583,0.0127143925,0.009665409,0.1725899353779458,0.15590624155015056,0.01668369382779525,1.0,1.0
1909,Venetoclax,ChEMBL,933,5.0463223e-05,0.005038397,0.003533845,0.4538785997905594,0.4513711175419125,0.002507482248646886,1.0,1.0
1048,Mirin,ChEMBL,871,0.0,0.0,0.0,0.5696154406369774,0.5696154406369774,0.0,0.0,0.0
1835,Elephantin,ChEMBL,698,0.0,0.0,0.0,0.494900357940796,0.494900357940796,0.0,0.0,0.0
1806,Oxaliplatin,ChEMBL,698,-0.0012839201,0.026544573,0.017850013,0.493741789906399,0.4399609251901805,0.05378086471621851,,
1786,AZD4547,ChEMBL,934,0.0,0.0,0.0,0.25006093856951095,0.25006093856951095,0.0,0.0,0.0
1259,Talazoparib,ChEMBL,931,0.0013560649,0.0097098565,0.0066491896,0.4558584966589044,0.4958364127701819,-0.039977916111277545,1.0,1.0
2057,Remodelin,ChEMBL,362,0.0,0.0,0.0,-0.18590988748726442,-0.18590988748726442,0.0,0.0,0.0
1996,MIM1,ChEMBL,726,0.0,0.0,0.0,0.3107934984426409,0.3107934984426409,0.0,0.0,0.0
2039,AGK2,ChEMBL,909,0.0,0.0,0.0,0.22948665775208482,0.22948665775208482,0.0,0.0,0.0
1825,Podophyllotoxin bromide,ChEMBL,698,0.0,0.0,0.0,0.5712382303322077,0.5712382303322077,0.0,0.0,0.0
1560,Alpelisib,ChEMBL,940,0.00034591017,0.009114959,0.006056105,0.4854155143511268,0.45845198537612825,0.02696352897499854,1.0,1.0
1576,IWP-2,ChEMBL,870,0.0,0.0,0.0,0.0925755076890603,0.0925755076890603,0.0,0.0,0.0
1192,GSK269962A,ChEMBL,260,0.0,0.0,0.0,0.16979305049910814,0.16979305049910814,0.0,0.0,0.0
2171,BMS-754807,ChEMBL,925,-0.054591946,0.04019296,0.054871205,0.45569923157342634,0.3795644729254571,0.07613475864796926,1.0,0.0
1243,Piperlongumine,ChEMBL,217,0.0,0.0,0.0,0.40766616402899325,0.40766616402899325,0.0,0.0,0.0
1067,CCT007093,ChEMBL,913,0.0,0.0,0.0,-0.15678077959114534,-0.15678077959114534,0.0,0.0,0.0
2172,JQ1,ChEMBL,925,0.0,0.0,0.0,0.7172216595055646,0.7172216595055646,0.0,0.0,0.0
1149,TW 37,ChEMBL,368,0.0,0.0,0.0,0.24486295597466104,0.24486295597466104,0.0,0.0,0.0
1372,Trametinib,PrimeKG,941,-0.001449434,0.009296529,0.0055679055,0.6738881875255345,0.6635061768549053,0.01038201067062916,1.0,1.0
1908,Ulixertinib,PrimeKG,933,0.0,0.0,0.0,0.6141059548721544,0.6141059548721544,0.0,0.0,0.0
2096,VX-11e,PrimeKG,929,0.0,0.0,0.0,0.5664705127224022,0.5664705127224022,0.0,0.0,0.0
1873,Buparlisib,PrimeKG,933,0.0,0.0,0.0,0.4668220712374413,0.4668220712374413,0.0,1.0,0.0
1083,Crizotinib,PrimeKG,941,0.0021838695,0.007934105,0.0058517423,0.44146428596155735,0.40052292897704217,0.040941356984515176,1.0,1.0
1593,Entinostat,PrimeKG,875,0.0,0.0,0.0,0.32479286654509587,0.32479286654509587,0.0,1.0,0.0
1200,Fulvestrant,PrimeKG,938,-0.00056754035,0.018942049,0.013474463,-0.15924683534362588,-0.08981410053286532,-0.06943273481076057,1.0,1.0
1816,Fulvestrant,PrimeKG,698,0.0009966851,0.01895504,0.013217704,0.09112960476268481,0.14782516473602753,-0.05669555997334272,,
1401,AZD5438,PrimeKG,698,0.0,0.0,0.0,0.3782567537862036,0.3782567537862036,0.0,1.0,0.0
2037,GSK343,PrimeKG,724,0.0,0.0,0.0,0.11093726693594486,0.11093726693594486,0.0,,
1936,Savolitinib,PrimeKG,932,0.0,0.0,0.0,0.14734757712797025,0.14734757712797025,0.0,1.0,0.0
1268,XAV939,PrimeKG,870,0.0,0.0,0.0,0.21641408296882653,0.21641408296882653,0.0,0.0,0.0
1494,SN-38,PrimeKG,933,-0.0004980807,0.006664995,0.005139392,0.6198357121378844,0.6124374669321471,0.007398245205737286,1.0,1.0
1179,MK-1775,PrimeKG,942,-0.004062776,0.012783668,0.009057334,0.5146831261604757,0.5285966834409916,-0.013913557280515909,1.0,1.0
1927,GSK2578215A,PrimeKG,933,0.0,0.0,0.0,0.16111246409925653,0.16111246409925653,0.0,0.0,0.0
1739,JAK_8517,PrimeKG,698,0.0,0.0,0.0,0.4056649510317488,0.4056649510317488,0.0,0.0,0.0
1010,Gefitinib,PrimeKG,933,-0.0020016409,0.016125748,0.011314194,0.056734810788004505,0.10411728886384358,-0.04738247807583908,1.0,1.0
1631,PRT062607,PrimeKG,871,0.0,0.0,0.0,0.5507184699605524,0.5507184699605524,0.0,0.0,0.0
1006,Cytarabine,PrimeKG,726,-0.0001236445,0.033634264,0.024535377,0.751359332273725,0.7127108883553329,0.03864844391839206,1.0,1.0
1059,AZD8055,PrimeKG,729,0.0,0.0,0.0,0.5799737415043601,0.5799737415043601,0.0,0.0,0.0
1005,Cisplatin,PrimeKG,743,-0.017012248,0.029274184,0.024349771,0.5385326306480203,0.4655247584171212,0.07300787223089905,1.0,1.0
1249,BMS-345541,PrimeKG,869,0.0,0.0,0.0,0.5531688709389716,0.5531688709389716,0.0,0.0,0.0
1507,Ruxolitinib,PrimeKG,875,0.0008140469,0.009001032,0.00629099,0.22523686528281964,0.23397808817418334,-0.008741222891363698,1.0,1.0
2011,ICL-SIRT078,PrimeKG,723,0.0,0.0,0.0,0.21938539871165036,0.21938539871165036,0.0,0.0,0.0
2110,GSK591,PrimeKG,929,0.0,0.0,0.0,0.20528914445797844,0.20528914445797844,0.0,0.0,0.0
1047,Nutlin-3a (-),PrimeKG,943,0.0,0.0,0.0,0.30083862359052677,0.30083862359052677,0.0,0.0,0.0
1779,GSK626616AC,PrimeKG,698,0.0,0.0,0.0,0.06055184252004917,0.06055184252004917,0.0,,
1824,123138,PrimeKG,698,0.0,0.0,0.0,-0.04502832547954373,-0.04502832547954373,0.0,,
1826,50869,PrimeKG,698,0.0,0.0,0.0,0.32910436348189603,0.32910436348189603,0.0,,
1839,615590,PrimeKG,698,0.0,0.0,0.0,-0.060678012596928586,-0.060678012596928586,0.0,,
1999,N25720-51-A1,PrimeKG,725,0.0,0.0,0.0,0.4301181785154885,0.4301181785154885,0.0,,
1815,Dacarbazine,PrimeKG,698,-0.0094524445,0.012190769,0.010928545,-0.02017901212655053,0.04771589472505252,-0.06789490685160304,1.0,1.0
1919,Osimertinib,PrimeKG,932,-0.0017922606,0.00665079,0.0044416916,0.3210041573645688,0.32242599491663976,-0.0014218375520709814,1.0,1.0
1449,AZD1208,PrimeKG,697,0.0,0.0,0.0,-0.016495863927103605,-0.016495863927103605,0.0,1.0,0.0
1622,Wnt-C59,PrimeKG,871,0.0,0.0,0.0,0.2983648656350902,0.2983648656350902,0.0,0.0,0.0
1630,Entospletinib,PrimeKG,871,0.0,0.0,0.0,0.4662926960464482,0.4662926960464482,0.0,1.0,0.0
1463,AZD1332,PrimeKG,698,0.0,0.0,0.0,0.3936503768710111,0.3936503768710111,0.0,0.0,0.0
1512,Cyclophosphamide,PrimeKG,932,-0.005653864,0.015523679,0.012035382,0.011165690166055548,0.07147282210740295,-0.0603071319413474,1.0,1.0
1168,Erlotinib,PrimeKG,930,-0.009323483,0.015472782,0.013276506,0.1725899353779458,0.18282896079580163,-0.010239025417855818,1.0,1.0
1909,Venetoclax,PrimeKG,933,-0.0006575191,0.0063673467,0.0042663473,0.4538785997905594,0.4549424152858172,-0.0010638154952578027,1.0,1.0
1048,Mirin,PrimeKG,871,0.0,0.0,0.0,0.5696154406369774,0.5696154406369774,0.0,0.0,0.0
1835,Elephantin,PrimeKG,698,0.0,0.0,0.0,0.494900357940796,0.494900357940796,0.0,0.0,0.0
1806,Oxaliplatin,PrimeKG,698,-0.015568465,0.020366004,0.019183172,0.493741789906399,0.505128180676059,-0.011386390769660026,,
1786,AZD4547,PrimeKG,934,0.0,0.0,0.0,0.25006093856951095,0.25006093856951095,0.0,0.0,0.0
1259,Talazoparib,PrimeKG,931,-0.0013414823,0.0092122555,0.006307976,0.4558584966589044,0.4018777541687362,0.053980742490168154,1.0,1.0
2057,Remodelin,PrimeKG,362,0.0,0.0,0.0,-0.18590988748726442,-0.18590988748726442,0.0,0.0,0.0
1996,MIM1,PrimeKG,726,0.0,0.0,0.0,0.3107934984426409,0.3107934984426409,0.0,0.0,0.0
2039,AGK2,PrimeKG,909,0.0,0.0,0.0,0.22948665775208482,0.22948665775208482,0.0,0.0,0.0
1825,Podophyllotoxin bromide,PrimeKG,698,0.0,0.0,0.0,0.5712382303322077,0.5712382303322077,0.0,0.0,0.0
1560,Alpelisib,PrimeKG,940,-0.0015060161,0.008990927,0.005611674,0.4854155143511268,0.4968827716566841,-0.01146725730555731,1.0,1.0
1576,IWP-2,PrimeKG,870,0.0,0.0,0.0,0.0925755076890603,0.0925755076890603,0.0,0.0,0.0
1192,GSK269962A,PrimeKG,260,0.0,0.0,0.0,0.16979305049910814,0.16979305049910814,0.0,0.0,0.0
2171,BMS-754807,PrimeKG,925,0.0,0.0,0.0,0.45569923157342634,0.45569923157342634,0.0,1.0,0.0
1243,Piperlongumine,PrimeKG,217,0.0,0.0,0.0,0.40766616402899325,0.40766616402899325,0.0,0.0,0.0
1067,CCT007093,PrimeKG,913,0.0,0.0,0.0,-0.15678077959114534,-0.15678077959114534,0.0,0.0,0.0
2172,JQ1,PrimeKG,925,0.0,0.0,0.0,0.7172216595055646,0.7172216595055646,0.0,0.0,0.0
1149,TW 37,PrimeKG,368,0.0,0.0,0.0,0.24486295597466104,0.24486295597466104,0.0,0.0,0.0
